Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Розничная продажа,,,,"50 739,41 руб.","30 933,08 руб.","19 806,33 руб.","64,03%"
87343,"Калькулятор""Casio GR-12-W-EH"" 12разр.","530,00 руб.","10,00 шт.","5 300,00 руб.","3 300,00 руб.","2 000,00 руб.","60,61%"
,ZОтчет 15/1262,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1305/8921,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 5/1278/8978,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 12/1277,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1309/8999,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1316/9124,"530,00 руб.","2,00 шт.","1 060,00 руб.","660,00 руб.","400,00 руб.","60,61%"
,ZОтчет 2/1317/9137,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1323/9246,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 4/1304/9279,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
87344,"Калькулятор""Casio GR-14-W-EH""","638,00 руб.","3,00 шт.","1 914,00 руб.","1 169,00 руб.","745,00 руб.","63,73%"
,ZОтчет 8/1273/3061,"660,00 руб.","1,00 шт.","660,00 руб.","389,00 руб.","271,00 руб.","69,67%"
,ZОтчет 2/1312/9049,"627,00 руб.","2,00 шт.","1 254,00 руб.","780,00 руб.","474,00 руб.","60,77%"
87345,"Калькулятор""Casio GR-16-W-EH""","710,00 руб.","1,00 шт.","710,00 руб.","453,00 руб.","257,00 руб.","56,73%"
,ZОтчет 2/1324/9270,"710,00 руб.","1,00 шт.","710,00 руб.","453,00 руб.","257,00 руб.","56,73%"
62526,"Калькулятор""Citizen CPC-1012GL""","330,00 руб.","1,00 шт.","330,00 руб.","201,61 руб.","128,39 руб.","63,68%"
,ZОтчет 5/1290/9187,"330,00 руб.","1,00 шт.","330,00 руб.","201,61 руб.","128,39 руб.","63,68%"
3938,"Калькулятор""Citizen CPC-110RDWB"" 10разр. дв.пит.","250,00 руб.","1,00 шт.","250,00 руб.","120,00 руб.","130,00 руб.","108,33%"
