Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-630,00 руб.;-307,37 руб.;-322,63 руб.;104,96%
85314;"Калькулятор""Citizen SDC-620 II"" 12разр.";630,00 руб.;-1,00 шт.;-630,00 руб.;-307,37 руб.;-322,63 руб.;104,96%
;ZОтчет 20/1560;630,00 руб.;-1,00 шт.;-630,00 руб.;-307,37 руб.;-322,63 руб.;104,96%
Розничная продажа;;;;112 669,80 руб.;64 049,22 руб.;48 620,58 руб.;75,91%
114199;"Калькулятор""Canon AS-444 HB"" 12 разр.";447,65 руб.;12,00 шт.;5 371,80 руб.;3 650,06 руб.;1 721,74 руб.;47,17%
;ZОтчет 5/1503/14844;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 51#00000000000003130;374,40 руб.;1,00 шт.;374,40 руб.;304,17 руб.;70,23 руб.;23,09%
;ZОтчет 51#00000000000003131;375,00 руб.;1,00 шт.;375,00 руб.;304,17 руб.;70,83 руб.;23,29%
;ZОтчет 11/1573;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 10/1129;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 51#00000000000003135;374,40 руб.;1,00 шт.;374,40 руб.;304,17 руб.;70,23 руб.;23,09%
;ZОтчет 15/1521;432,00 руб.;1,00 шт.;432,00 руб.;304,18 руб.;127,82 руб.;42,02%
;ZОтчет 18/1248;456,00 руб.;1,00 шт.;456,00 руб.;304,17 руб.;151,83 руб.;49,92%
;ZОтчет 8/1497/10050;480,00 руб.;1,00 шт.;480,00 руб.;304,18 руб.;175,82 руб.;57,8%
;ZОтчет 15/1526;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 18/1254;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 20/1569;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
2373;"Калькулятор""Canon AS-888-BK"" 16 разр.";473,89 руб.;9,00 шт.;4 265,00 руб.;2 854,68 руб.;1 410,32 руб.;49,4%
;ZОтчет 15/1505;475,00 руб.;1,00 шт.;475,00 руб.;317,18 руб.;157,82 руб.;49,76%
;ZОтчет 18/1236;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 3/1479/15435;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 20/1551;500,00 руб.;1,00 шт.;500,00 руб.;317,18 руб.;182,82 руб.;57,64%
;ZОтчет 19/877;425,00 руб.;1,00 шт.;425,00 руб.;317,18 руб.;107,82 руб.;33,99%
;ZОтчет 10/1129;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 51#00000000000003143;390,00 руб.;1,00 шт.;390,00 руб.;317,19 руб.;72,81 руб.;22,95%
;ZОтчет 16/1528;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 8/1504/10065;475,00 руб.;1,00 шт.;475,00 руб.;317,19 руб.;157,81 руб.;49,75%
114200;"Калькулятор""Canon AS-888-BL"" 16 разр.";565,50 руб.;2,00 шт.;1 131,00 руб.;769,30 руб.;361,70 руб.;47,02%
;ZОтчет 15/1505;551,00 руб.;1,00 шт.;551,00 руб.;384,65 руб.;166,35 руб.;43,25%
