Отчет о продажах за период;;;;;;;
с 16.09.16 по 28.10.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-1 480,00 руб.;-879,51 руб.;-600,49 руб.;68,28%
85314;"Калькулятор""Citizen SDC-620 II"" 12разр.";630,00 руб.;-1,00 шт.;-630,00 руб.;-307,37 руб.;-322,63 руб.;104,96%
;ZОтчет 20/1560;630,00 руб.;-1,00 шт.;-630,00 руб.;-307,37 руб.;-322,63 руб.;104,96%
184532;"Калькулятор""Citizen SRP-280N""";850,00 руб.;-1,00 шт.;-850,00 руб.;-572,14 руб.;-277,86 руб.;48,57%
;ZОтчет 2/1588;850,00 руб.;-1,00 шт.;-850,00 руб.;-572,14 руб.;-277,86 руб.;48,57%
Розничная продажа;;;;124 474,98 руб.;72 002,11 руб.;52 472,87 руб.;72,88%
114199;"Калькулятор""Canon AS-444 HB"" 12 разр.";467,31 руб.;14,00 шт.;6 542,40 руб.;4 258,42 руб.;2 283,98 руб.;53,63%
;ZОтчет 10/1129;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 51#00000000000003135;374,40 руб.;1,00 шт.;374,40 руб.;304,17 руб.;70,23 руб.;23,09%
;ZОтчет 15/1521;432,00 руб.;1,00 шт.;432,00 руб.;304,18 руб.;127,82 руб.;42,02%
;ZОтчет 18/1248;456,00 руб.;1,00 шт.;456,00 руб.;304,17 руб.;151,83 руб.;49,92%
;ZОтчет 8/1497/10050;480,00 руб.;1,00 шт.;480,00 руб.;304,18 руб.;175,82 руб.;57,8%
;ZОтчет 15/1526;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 18/1254;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 20/1569;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 18/1261;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 11/1595;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 8/1513/10084;480,00 руб.;1,00 шт.;480,00 руб.;304,18 руб.;175,82 руб.;57,8%
;ZОтчет 16/1545;480,00 руб.;1,00 шт.;480,00 руб.;304,18 руб.;175,82 руб.;57,8%
;ZОтчет 5/1550/16112;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
;ZОтчет 18/1278;480,00 руб.;1,00 шт.;480,00 руб.;304,17 руб.;175,83 руб.;57,81%
2373;"Калькулятор""Canon AS-888-BK"" 16 разр.";458,00 руб.;5,00 шт.;2 290,00 руб.;1 585,94 руб.;704,06 руб.;44,39%
;ZОтчет 10/1129;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 51#00000000000003143;390,00 руб.;1,00 шт.;390,00 руб.;317,19 руб.;72,81 руб.;22,95%
;ZОтчет 16/1528;500,00 руб.;1,00 шт.;500,00 руб.;317,19 руб.;182,81 руб.;57,63%
;ZОтчет 8/1504/10065;475,00 руб.;1,00 шт.;475,00 руб.;317,19 руб.;157,81 руб.;49,75%
;ZОтчет 10/1151;425,00 руб.;1,00 шт.;425,00 руб.;317,18 руб.;107,82 руб.;33,99%
114200;"Калькулятор""Canon AS-888-BL"" 16 разр.";580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 18/1284;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
114201;"Калькулятор""Canon AS-888-DGR"" 16 разр.";580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 18/1284;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
114202;"Калькулятор""Canon AS-888-GR"" 16 разр.";580,00 руб.;2,00 шт.;1 160,00 руб.;769,30 руб.;390,70 руб.;50,79%
;ZОтчет 14/1521;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 2/1581;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
114203;"Калькулятор""Canon AS-888-RD"" 16 разр.";580,00 руб.;6,00 шт.;3 480,00 руб.;2 307,91 руб.;1 172,09 руб.;50,79%
;ZОтчет 19/891;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 5/1538/15903;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 5/1540/15926;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 2/1579;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 15/1550;580,00 руб.;1,00 шт.;580,00 руб.;384,65 руб.;195,35 руб.;50,79%
;ZОтчет 18/1284;580,00 руб.;1,00 шт.;580,00 руб.;384,66 руб.;195,34 руб.;50,78%
84824 / 10+2разр.;"Калькулятор""Casio FX-220PLUS-S-EH"" 10+2разр.";508,75 руб.;2,00 шт.;1 017,50 руб.;684,44 руб.;333,06 руб.;48,66%
;ZОтчет 2/1582;550,00 руб.;1,00 шт.;550,00 руб.;342,22 руб.;207,78 руб.;60,72%
;ZОтчет 18/1284;467,50 руб.;1,00 шт.;467,50 руб.;342,22 руб.;125,28 руб.;36,61%
