Отчет о продажах за период,,,,,,,
с 01.12.15 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Возврат товара,,,,"-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
182574,"Калькулятор""Citizen SR-260NPU"" 12разр.","382,50 руб.","-1,00 шт.","-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
,ZОтчет 16/1238,"382,50 руб.","-1,00 шт.","-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
Розничная продажа,,,,"130 271,26 руб.","78 657,84 руб.","51 613,42 руб.","65,62%"
106053,"Калькулятор""Casio DH-12-BK-S-EH""","740,00 руб.","1,00 шт.","740,00 руб.","461,60 руб.","278,40 руб.","60,31%"
,ZОтчет 2/1286/8598,"740,00 руб.","1,00 шт.","740,00 руб.","461,60 руб.","278,40 руб.","60,31%"
87343,"Калькулятор""Casio GR-12-W-EH"" 12разр.","518,43 руб.","43,00 шт.","22 292,30 руб.","14 179,08 руб.","8 113,22 руб.","57,22%"
,ZОтчет 51#00000000000002896,"514,80 руб.","1,00 шт.","514,80 руб.","325,00 руб.","189,80 руб.","58,4%"
,ZОтчет 19/592,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1266/8233,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 12/1233,"503,50 руб.","1,00 шт.","503,50 руб.","330,00 руб.","173,50 руб.","52,58%"
,ZОтчет 2/1268/8269,"503,50 руб.","10,00 шт.","5 035,00 руб.","3 300,00 руб.","1 735,00 руб.","52,58%"
,ZОтчет 19/597,"503,50 руб.","1,00 шт.","503,50 руб.","330,00 руб.","173,50 руб.","52,58%"
,ZОтчет 9/2670,"503,50 руб.","1,00 шт.","503,50 руб.","331,36 руб.","172,14 руб.","51,95%"
,ZОтчет 2/1277/8425,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 51#00000000000002909,"514,00 руб.","2,00 шт.","1 028,00 руб.","655,00 руб.","373,00 руб.","56,95%"
,ZОтчет 15/1245,"530,00 руб.","1,00 шт.","530,00 руб.","331,36 руб.","198,64 руб.","59,95%"
,ZОтчет 2/1282/8513,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 3/1242/8539,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 15/1251,"530,00 руб.","2,00 шт.","1 060,00 руб.","660,00 руб.","400,00 руб.","60,61%"
,ZОтчет 19/613,"450,50 руб.","1,00 шт.","450,50 руб.","330,00 руб.","120,50 руб.","36,52%"
,ZОтчет 16/1251,"503,50 руб.","1,00 шт.","503,50 руб.","325,00 руб.","178,50 руб.","54,92%"
,ZОтчет 8/1258/3029,"530,00 руб.","1,00 шт.","530,00 руб.","331,36 руб.","198,64 руб.","59,95%"
,ZОтчет 5/1263/8638,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 15/1256,"530,00 руб.","3,00 шт.","1 590,00 руб.","990,00 руб.","600,00 руб.","60,61%"
,ZОтчет 2/1294/8746,"530,00 руб.","2,00 шт.","1 060,00 руб.","660,00 руб.","400,00 руб.","60,61%"
,ZОтчет 15/1262,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1305/8921,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 5/1278/8978,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 12/1277,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1309/8999,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1316/9124,"530,00 руб.","2,00 шт.","1 060,00 руб.","660,00 руб.","400,00 руб.","60,61%"
,ZОтчет 2/1317/9137,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 2/1323/9246,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
,ZОтчет 4/1304/9279,"530,00 руб.","1,00 шт.","530,00 руб.","330,00 руб.","200,00 руб.","60,61%"
87344,"Калькулятор""Casio GR-14-W-EH""","636,90 руб.","10,00 шт.","6 369,00 руб.","3 897,35 руб.","2 471,65 руб.","63,42%"
,ZОтчет 2/1267/8252,"660,00 руб.","1,00 шт.","660,00 руб.","389,00 руб.","271,00 руб.","69,67%"
,ZОтчет 2/1268/8269,"627,00 руб.","5,00 шт.","3 135,00 руб.","1 958,78 руб.","1 176,22 руб.","60,05%"
,ZОтчет 15/1246,"660,00 руб.","1,00 шт.","660,00 руб.","380,57 руб.","279,43 руб.","73,42%"
,ZОтчет 8/1273/3061,"660,00 руб.","1,00 шт.","660,00 руб.","389,00 руб.","271,00 руб.","69,67%"
,ZОтчет 2/1312/9049,"627,00 руб.","2,00 шт.","1 254,00 руб.","780,00 руб.","474,00 руб.","60,77%"
87345,"Калькулятор""Casio GR-16-W-EH""","710,00 руб.","1,00 шт.","710,00 руб.","453,00 руб.","257,00 руб.","56,73%"
,ZОтчет 2/1324/9270,"710,00 руб.","1,00 шт.","710,00 руб.","453,00 руб.","257,00 руб.","56,73%"
62526,"Калькулятор""Citizen CPC-1012GL""","330,00 руб.","1,00 шт.","330,00 руб.","201,61 руб.","128,39 руб.","63,68%"
