Отчет о движении товаров за период;;;;
 01.10.15 - 29.09.16;;;;
По фирме: Алекс, по складу: Основной склад.;;;;
Товар;"Начальный
Остаток";Приход;Расход;"Конечный
Остаток"
115427 Калькулятор малый; ;4,00 шт.;4,00 шт.; 
"       Приходная накладная № ПН1-001509 от 02.06.16 
Поставщик: анкор";;4,00 шт.;;4,00 шт.
"       Перемещение П1-0014254 (02.06.16) от 02.06.16
 на склад: Ясногорск";;;4,00 шт.; 
"114367 Калькулятор""Canon AS-120R"" 12 разр."; ;1,00 шт.;1,00 шт.; 
"       Приходная накладная № ПН1-001195 от 28.04.16 
Поставщик: комус";;1,00 шт.;;1,00 шт.
"       Расходная накладная № РН16-03035 от 28.04.16 
Покупатель: ортпц Нагимова";;;1,00 шт.; 
"114199 Калькулятор""Canon AS-444 HB"" 12 разр."; ;140,00 шт.;124,00 шт.;16,00 шт.
"       Приходная накладная № ПН1-001162 от 26.04.16 
Поставщик: юнит клаб";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0011144 (26.04.16) от 26.04.16
 на склад: Выставочный зал";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0011148 (26.04.16) от 26.04.16
 на склад: Новая Лота";;;2,00 шт.;16,00 шт.
"       Перемещение П1-0011164 (26.04.16) от 26.04.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0011165 (26.04.16) от 26.04.16
 на склад: Новомосковск";;;2,00 шт.;12,00 шт.
"       Перемещение П1-0011166 (26.04.16) от 26.04.16
 на склад: Узловая";;;2,00 шт.;10,00 шт.
"       Перемещение П1-0011443 (28.04.16) от 28.04.16
 на склад: Донской";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0011446 (28.04.16) от 28.04.16
 на склад: Ефремов";;;1,00 шт.;8,00 шт.
"       Перемещение П1-0011448 (28.04.16) от 28.04.16
 на склад: Кирова";;;1,00 шт.;7,00 шт.
"       Перемещение П1-0011453 (28.04.16) от 28.04.16
 на склад: Ложевая";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0011454 (28.04.16) от 28.04.16
 на склад: Мясново";;;1,00 шт.;5,00 шт.
"       Перемещение П1-0011461 (28.04.16) от 28.04.16
 на склад: Новый Ефремов";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0011463 (28.04.16) от 28.04.16
 на склад: Новый Престиж";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0011464 (28.04.16) от 28.04.16
 на склад: Руднева";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0011465 (28.04.16) от 28.04.16
 на склад: Суворов";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0011467 (28.04.16) от 28.04.16
 на склад: Ясногорск";;;1,00 шт.; 
"       Приходная накладная № ПН1-001422 от 25.05.16 
Поставщик: юнит клаб";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0013538 (25.05.16) от 25.05.16
 на склад: Выставочный зал";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0013542 (25.05.16) от 25.05.16
 на склад: Новый Престиж";;;1,00 шт.;17,00 шт.
"       Перемещение П1-0013572 (26.05.16) от 26.05.16
 на склад: Новомосковск";;;1,00 шт.;16,00 шт.
"       Перемещение П1-0013574 (26.05.16) от 26.05.16
 на склад: Узловая";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0013793 (27.05.16) от 27.05.16
 на склад: Суворов";;;2,00 шт.;12,00 шт.
"       Перемещение П1-0013881 (30.05.16) от 30.05.16
 на склад: Алексин";;;1,00 шт.;11,00 шт.
"       Перемещение П1-0013887 (30.05.16) от 30.05.16
 на склад: Ложевая";;;1,00 шт.;10,00 шт.
"       Перемещение П1-0013888 (30.05.16) от 30.05.16
 на склад: Мясново";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0013890 (30.05.16) от 30.05.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;8,00 шт.
"       Перемещение П1-0014224 (02.06.16) от 02.06.16
 на склад: Руднева";;;1,00 шт.;7,00 шт.
"       Перемещение П1-0014446 (06.06.16) от 06.06.16
 на склад: Донской";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0014448 (06.06.16) от 06.06.16
 на склад: Ефремов";;;1,00 шт.;5,00 шт.
"       Перемещение П1-0014449 (06.06.16) от 06.06.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0014678 (08.06.16) от 08.06.16
 на склад: Ефремов";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0014679 (08.06.16) от 08.06.16
 на склад: Новый Ефремов";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0014948 (10.06.16) от 10.06.16
 на склад: Выставочный зал";;;1,00 шт.; 
"       Приходная накладная № ПН1-002052 от 02.08.16 
Поставщик: юнит клаб";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0019178 (02.08.16) от 02.08.16
 на склад: Выставочный зал";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0019180 (02.08.16) от 02.08.16
 на склад: Донской";;;1,00 шт.;37,00 шт.
"       Перемещение П1-0019181 (02.08.16) от 02.08.16
 на склад: Ефремов";;;1,00 шт.;36,00 шт.
"       Перемещение П1-0019182 (02.08.16) от 02.08.16
 на склад: Кирова";;;2,00 шт.;34,00 шт.
"       Перемещение П1-0019186 (02.08.16) от 02.08.16
 на склад: Мясново";;;2,00 шт.;32,00 шт.
"       Перемещение П1-0019187 (02.08.16) от 02.08.16
 на склад: Новая Лота";;;2,00 шт.;30,00 шт.
"       Перемещение П1-0019190 (02.08.16) от 02.08.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;29,00 шт.
"       Перемещение П1-0019195 (02.08.16) от 02.08.16
 на склад: Новомосковск";;;2,00 шт.;27,00 шт.
"       Перемещение П1-0019197 (02.08.16) от 02.08.16
 на склад: Узловая";;;2,00 шт.;25,00 шт.
"       Перемещение П1-0019199 (02.08.16) от 02.08.16
 на склад: Ясногорск";;;2,00 шт.;23,00 шт.
"       Перемещение П1-0019203 (02.08.16) от 02.08.16
 на склад: Суворов";;;2,00 шт.;21,00 шт.
"       Перемещение П1-0019236 (02.08.16) от 02.08.16
 на склад: Щекино";;;2,00 шт.;19,00 шт.
"       Перемещение П1-0019292 (03.08.16) от 03.08.16
 на склад: Выставочный зал";;;3,00 шт.;16,00 шт.
"       Перемещение П1-0019602 (08.08.16) от 08.08.16
 на склад: Ефремов";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0019842 (10.08.16) от 10.08.16
 на склад: Выставочный зал";;;1,00 шт.;13,00 шт.
"       Перемещение П1-0020179 (12.08.16) от 12.08.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;11,00 шт.
"       Перемещение П1-0020359 (15.08.16) от 15.08.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;10,00 шт.
"       Перемещение П1-0020400 (15.08.16) от 15.08.16
 на склад: Суворов";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0020554 (16.08.16) от 16.08.16
 на склад: Ефремов";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0020561 (16.08.16) от 16.08.16
 на склад: Руднева";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0020900 (18.08.16) от 18.08.16
 на склад: Алексин";;;1,00 шт.;5,00 шт.
"       Перемещение П1-0020902 (18.08.16) от 18.08.16
 на склад: Узловая";;;2,00 шт.;3,00 шт.
"       Перемещение П1-0020962 (18.08.16) от 18.08.16
 на склад: Ясногорск";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0023254 (05.09.16) от 05.09.16
 на склад: Новая Лота";;;1,00 шт.;1,00 шт.
"       Приходная накладная № ПН1-002536 от 09.09.16 
Поставщик: юнит клаб";;60,00 шт.;;61,00 шт.
"       Перемещение П1-0024056 (12.09.16) от 12.09.16
 на склад: Выставочный зал";;;3,00 шт.;58,00 шт.
"       Перемещение П1-0024062 (12.09.16) от 12.09.16
 на склад: Новомосковск";;;3,00 шт.;55,00 шт.
"       Перемещение П1-0024064 (12.09.16) от 12.09.16
 на склад: Узловая";;;4,00 шт.;51,00 шт.
"       Перемещение П1-0024080 (12.09.16) от 12.09.16
 на склад: Новомосковск";;;5,00 шт.;46,00 шт.
"       Перемещение П1-0024092 (12.09.16) от 12.09.16
 на склад: Новый Бизнесцентр";;;3,00 шт.;43,00 шт.
"       Перемещение П1-0024102 (12.09.16) от 12.09.16
 на склад: Суворов";;;2,00 шт.;41,00 шт.
"       Перемещение П1-0024110 (12.09.16) от 12.09.16
 на склад: Руднева";;;2,00 шт.;39,00 шт.
"       Перемещение П1-0024122 (12.09.16) от 12.09.16
 на склад: Ясногорск";;;3,00 шт.;36,00 шт.
"       Перемещение П1-0024168 (12.09.16) от 12.09.16
 на склад: Ложевая";;;2,00 шт.;34,00 шт.
"       Перемещение П1-0024491 (14.09.16) от 14.09.16
 на склад: Мясново";;;3,00 шт.;31,00 шт.
"       Перемещение П1-0024905 (16.09.16) от 16.09.16
 на склад: Алексин";;;1,00 шт.;30,00 шт.
"       Перемещение П1-0024907 (16.09.16) от 16.09.16
 на склад: Донской";;;2,00 шт.;28,00 шт.
"       Перемещение П1-0024928 (16.09.16) от 16.09.16
 на склад: Новый Ефремов";;;2,00 шт.;26,00 шт.
"       Перемещение П1-0024930 (16.09.16) от 16.09.16
 на склад: Новый Престиж";;;1,00 шт.;25,00 шт.
"       Перемещение П1-0024976 (19.09.16) от 19.09.16
 на склад: Щекино";;;2,00 шт.;23,00 шт.
"       Перемещение П1-0025493 (21.09.16) от 21.09.16
 на склад: Ефремов";;;2,00 шт.;21,00 шт.
"       Перемещение П1-0025834 (26.09.16) от 26.09.16
 на склад: Новая Лота";;;3,00 шт.;18,00 шт.
"       Перемещение П1-0026037 (27.09.16) от 27.09.16
 на склад: Руднева";;;2,00 шт.;16,00 шт.
"2373 Калькулятор""Canon AS-888-BK"" 16 разр."; ;71,00 шт.;71,00 шт.; 
"       Приходная накладная № ПН1-001162 от 26.04.16 
Поставщик: юнит клаб";;10,00 шт.;;10,00 шт.
"       Расходная накладная № РН16-03111 от 26.04.16 
Покупатель: частное Ефремова Е.Н.";;;10,00 шт.; 
"       Приходная накладная № ПН1-001422 от 25.05.16 
Поставщик: юнит клаб";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0013538 (25.05.16) от 25.05.16
 на склад: Выставочный зал";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0013539 (25.05.16) от 25.05.16
 на склад: Новая Лота";;;2,00 шт.;16,00 шт.
"       Перемещение П1-0013541 (25.05.16) от 25.05.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0013542 (25.05.16) от 25.05.16
 на склад: Новый Престиж";;;1,00 шт.;13,00 шт.
"       Перемещение П1-0013543 (25.05.16) от 25.05.16
 на склад: Кирова";;;1,00 шт.;12,00 шт.
"       Перемещение П1-0013569 (26.05.16) от 26.05.16
 на склад: Ложевая";;;1,00 шт.;11,00 шт.
"       Перемещение П1-0013570 (26.05.16) от 26.05.16
 на склад: Руднева";;;1,00 шт.;10,00 шт.
"       Перемещение П1-0013571 (26.05.16) от 26.05.16
 на склад: Суворов";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0013572 (26.05.16) от 26.05.16
 на склад: Новомосковск";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0013574 (26.05.16) от 26.05.16
 на склад: Узловая";;;2,00 шт.;5,00 шт.
"       Перемещение П1-0013793 (27.05.16) от 27.05.16
 на склад: Суворов";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0013881 (30.05.16) от 30.05.16
 на склад: Алексин";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0013885 (30.05.16) от 30.05.16
 на склад: Кирова";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0013888 (30.05.16) от 30.05.16
 на склад: Мясново";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0014423 (03.06.16) от 03.06.16
 на склад: Выставочный зал";;;1,00 шт.; 
"       Приходная накладная № ПН1-002052 от 02.08.16 
Поставщик: юнит клаб";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0019178 (02.08.16) от 02.08.16
 на склад: Выставочный зал";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0019180 (02.08.16) от 02.08.16
 на склад: Донской";;;1,00 шт.;37,00 шт.
"       Перемещение П1-0019181 (02.08.16) от 02.08.16
 на склад: Ефремов";;;2,00 шт.;35,00 шт.
"       Перемещение П1-0019182 (02.08.16) от 02.08.16
 на склад: Кирова";;;2,00 шт.;33,00 шт.
"       Перемещение П1-0019184 (02.08.16) от 02.08.16
 на склад: Ложевая";;;1,00 шт.;32,00 шт.
"       Перемещение П1-0019187 (02.08.16) от 02.08.16
 на склад: Новая Лота";;;2,00 шт.;30,00 шт.
"       Перемещение П1-0019190 (02.08.16) от 02.08.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;29,00 шт.
"       Перемещение П1-0019193 (02.08.16) от 02.08.16
 на склад: Новый Ефремов";;;1,00 шт.;28,00 шт.
"       Перемещение П1-0019195 (02.08.16) от 02.08.16
 на склад: Новомосковск";;;2,00 шт.;26,00 шт.
"       Перемещение П1-0019197 (02.08.16) от 02.08.16
 на склад: Узловая";;;2,00 шт.;24,00 шт.
"       Перемещение П1-0019199 (02.08.16) от 02.08.16
 на склад: Ясногорск";;;2,00 шт.;22,00 шт.
"       Перемещение П1-0019202 (02.08.16) от 02.08.16
 на склад: Руднева";;;1,00 шт.;21,00 шт.
"       Перемещение П1-0019203 (02.08.16) от 02.08.16
 на склад: Суворов";;;1,00 шт.;20,00 шт.
"       Перемещение П1-0019236 (02.08.16) от 02.08.16
 на склад: Щекино";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0019292 (03.08.16) от 03.08.16
 на склад: Выставочный зал";;;3,00 шт.;15,00 шт.
"       Перемещение П1-0019843 (10.08.16) от 10.08.16
 на склад: Новый Престиж";;;2,00 шт.;13,00 шт.
"       Расходная накладная № РН16-05767 от 12.08.16 
Покупатель: ПСК";;;1,00 шт.;12,00 шт.
"       Расходная накладная № РН16-05768 от 12.08.16 
Покупатель: эксперт св";;;1,00 шт.;11,00 шт.
"       Перемещение П1-0020179 (12.08.16) от 12.08.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;10,00 шт.
"       Расходная накладная № РН16-05976 от 12.08.16 
Покупатель: Частное-Оргтехника";;;1,00 шт.;9,00 шт.
       Перемещение П1-0020764 (17.08.16) от 17.08.16 со склада Ефремов на склад Основной склад;;1,00 шт.;;10,00 шт.
"       Перемещение П1-0020765 (17.08.16) от 17.08.16
 на склад: Склад для возвратов";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0020898 (18.08.16) от 18.08.16
 на склад: Новомосковск";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0020900 (18.08.16) от 18.08.16
 на склад: Алексин";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0020902 (18.08.16) от 18.08.16
 на склад: Узловая";;;2,00 шт.;4,00 шт.
"       Перемещение П1-0020908 (18.08.16) от 18.08.16
 на склад: Ефремов";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0020962 (18.08.16) от 18.08.16
 на склад: Ясногорск";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0023254 (05.09.16) от 05.09.16
 на склад: Новая Лота";;;2,00 шт.; 
"114200 Калькулятор""Canon AS-888-BL"" 16 разр."; ;20,00 шт.;19,00 шт.;1,00 шт.
"       Приходная накладная № ПН1-001162 от 26.04.16 
Поставщик: юнит клаб";;3,00 шт.;;3,00 шт.
"       Перемещение П1-0011163 (26.04.16) от 26.04.16
 на склад: Выставочный зал";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0011164 (26.04.16) от 26.04.16
 на склад: Новый Бизнесцентр";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0011166 (26.04.16) от 26.04.16
 на склад: Узловая";;;1,00 шт.; 
"       Приходная накладная № ПН1-001422 от 25.05.16 
Поставщик: юнит клаб";;2,00 шт.;;2,00 шт.
"       Перемещение П1-0013538 (25.05.16) от 25.05.16
 на склад: Выставочный зал";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0013539 (25.05.16) от 25.05.16
 на склад: Новая Лота";;;1,00 шт.; 
"       Приходная накладная № ПН1-002052 от 02.08.16 
Поставщик: юнит клаб";;5,00 шт.;;5,00 шт.
"       Перемещение П1-0019178 (02.08.16) от 02.08.16
 на склад: Выставочный зал";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0019187 (02.08.16) от 02.08.16
 на склад: Новая Лота";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0019195 (02.08.16) от 02.08.16
 на склад: Новомосковск";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0019197 (02.08.16) от 02.08.16
 на склад: Узловая";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0019199 (02.08.16) от 02.08.16
 на склад: Ясногорск";;;1,00 шт.; 
"       Приходная накладная № ПН1-002536 от 09.09.16 
Поставщик: юнит клаб";;10,00 шт.;;10,00 шт.
"       Перемещение П1-0024056 (12.09.16) от 12.09.16
 на склад: Выставочный зал";;;1,00 шт.;9,00 шт.
